id,description,title,price,nominal,img,gender,category
21WMCW384086,Camisa algodón estampada,Newcollection,59.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw788b9290/images/B2C/21WMCW38_4086_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropadehombre
21WMDD135001,Pantalón jogger vaquero híbrido,Newcollection,99.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwaa3b6390/images/B2C/21WMDD13_5001_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropadehombre
21WMTK409020,Camiseta arty 100% algodón,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw3f121ea4/images/B2C/21WMTK40_9020_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropadehombre
21WMTK331021,Camiseta surf 100% algodón,Newcollection,39.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw61f91a00/images/B2C/21WMTK33_1021_4.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropadehombre
21WMTK417019,Camiseta arty 100% algodón,Newcollection,29.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw66f9a4e0/images/B2C/21WMTK41_7019_2.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropadehombre
21WMTK644086,Camiseta mensaje algodón,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw767fda88/images/B2C/21WMTK64_4086_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropadehombre
21WMTK032007,Camiseta regular postales fotográficas,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw04ee914d/images/B2C/21WMTK03_2007_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropadehombre
21WMLK015001,Polo algodón y denim,Newcollection,79.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw1c2c39c1/images/B2C/21WMLK01_5001_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropadehombre
21WMSK095001,Sudadera felpa parches vaqueros,Newcollection,89.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwa0ea8516/images/B2C/21WMSK09_5001_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMCW085001,Camisa regular bimateria,Newcollection,89.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw47c7bf27/images/B2C/21WMCW08_5001_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
